Kawata PME,6,32,9000,2023.515598438629922,5.595004291000000
Kawata PME,6,32,9000,2023.515598765110781,5.568927985999999
Kawata PME,6,32,9000,2023.515597660574713,5.757877080000000
Kawata PME,6,32,10000,352.766761553808465,6.496587845000000
Kawata PME,6,32,10000,352.766763236337511,6.521003841000000
Kawata PME,6,32,10000,352.766759163047652,6.532989621000000
Kawata PME,6,32,10000,352.766762678042369,6.464999012000000
Kawata PME,6,32,10000,352.766763025543696,6.489975256999999
Kawata PME,6,32,10000,352.766759923904715,6.526998683000000
Kawata PME,6,32,10000,352.766761107892933,6.490021550000000
Kawata PME,6,32,10000,352.766761591439717,6.591996918000000
Kawata PME,6,32,10000,352.766760066804181,6.553986261000000
Kawata PME,6,32,10000,352.766760895849529,6.301941932000000
Kawata PME,6,32,10000,352.766758328838989,6.499038798999999
Kawata PME,6,32,10000,352.766758809666271,6.720999738000000
Kawata PME,6,32,10000,352.766761664570879,6.117986946000000
Kawata PME,6,32,10000,352.766759457335695,6.542969638000000
Kawata PME,6,32,10000,352.766760468970119,6.491847545000001
Kawata PME,6,32,10000,352.766761349482636,6.603944966000000
Kawata PME,6,32,10000,352.766759628734462,6.555957929000000
Kawata PME,6,32,10000,352.766759314748356,6.472914953000000
Kawata PME,6,32,10000,352.766761783050470,6.608929277000001
Kawata PME,6,32,10000,352.766762268214393,6.525007670000000
Kawata PME,6,32,10000,352.766760537176481,6.346014809000001
Kawata PME,6,32,10000,352.766760173799526,6.596999145000000
Kawata PME,6,32,10000,352.766761140599556,6.538977306000000
Kawata PME,6,32,10000,352.766760486609542,6.572936578999999
Kawata PME,6,32,10000,352.766760773106967,6.682998928000000
Kawata PME,6,32,10000,352.766760436336426,6.467051328999999
Kawata PME,6,32,10000,352.766760748558511,6.586954757000000
Kawata PME,6,32,10000,352.766760197319172,6.588890116000000
Kawata PME,6,32,10000,352.766760848075648,6.530996847000000
Kawata PME,6,32,10000,352.766758406416784,6.652054399000000
Kawata PME,6,32,11000,2652.148541399149053,6.870512614000000
Kawata PME,6,32,11000,2652.148539467865248,6.757081109000000
Kawata PME,6,32,11000,2652.148540791498817,6.904084862000000
Kawata PME,6,32,11000,2652.148541274421405,6.640875445000000
Kawata PME,6,32,11000,2652.148540106641121,6.697922570000000
Kawata PME,6,32,11000,2652.148541724416646,6.735020985999999
Kawata PME,6,32,11000,2652.148540916520233,6.711896378000000
Kawata PME,6,32,11000,2652.148540122001577,6.655899400000000
Kawata PME,6,32,11000,2652.148540938496808,6.750943452000000
Kawata PME,6,32,11000,2652.148541099679278,6.700063037000000
Kawata PME,6,32,11000,2652.148541269461020,6.661999326999999
Kawata PME,6,32,11000,2652.148540722925645,6.757981742000000
Kawata PME,6,32,11000,2652.148540371160379,6.642981677000000
Kawata PME,6,32,11000,2652.148540630316802,6.772964664000000
Kawata PME,6,32,11000,2652.148541238885628,6.628919083000000
Kawata PME,6,32,11000,2652.148540136186512,6.660353454000000
Kawata PME,6,32,11000,2652.148542772065412,6.816001609000001
Kawata PME,6,32,11000,2652.148539403479390,6.398713492000001
Kawata PME,6,32,11000,2652.148539189157418,6.620026352000000
Kawata PME,6,32,11000,2652.148541086964087,6.709108764000000
Kawata PME,6,32,11000,2652.148539310283013,6.852997202000000
Kawata PME,6,32,11000,2652.148539789787719,6.719939463000000
Kawata PME,6,32,11000,2652.148540391152437,6.908027014000000
Kawata PME,6,32,11000,2652.148538942496543,6.705841959000000
Kawata PME,6,32,11000,2652.148541626645056,6.733940550000001
Kawata PME,6,32,11000,2652.148541134223706,6.771986980000000
Kawata PME,6,32,11000,2652.148538294533409,6.767878120000000
Kawata PME,6,32,11000,2652.148540077736925,6.726967899000000
Kawata PME,6,32,11000,2652.148539715186416,6.761911996000000
Kawata PME,6,32,11000,2652.148540341908301,6.771944607000000
Kawata PME,6,32,12000,2121.959173770178950,6.714777582000000
Kawata PME,6,32,12000,2121.959173961497982,6.969962342000001
Kawata PME,6,32,12000,2121.959174202056602,6.839960400000001
Kawata PME,6,32,12000,2121.959174296575839,6.746998314000000
Kawata PME,6,32,12000,2121.959174467534012,6.921945838999999
Kawata PME,6,32,12000,2121.959171828053513,7.021071149000000
Kawata PME,6,32,12000,2121.959174422258457,6.754847411000000
Kawata PME,6,32,12000,2121.959175250440694,6.825008558000000
Kawata PME,6,32,12000,2121.959171678134226,6.805084979000000
Kawata PME,6,32,12000,2121.959170948569408,6.907999197000000
Kawata PME,6,32,12000,2121.959173425322660,6.706940777000000
Kawata PME,6,32,12000,2121.959174143275504,6.743934958000001
Kawata PME,6,32,12000,2121.959173452665709,6.909937119999999
Kawata PME,6,32,12000,2121.959172761153241,6.791030268000000
Kawata PME,6,32,12000,2121.959172158355614,6.800000080999999
Kawata PME,6,32,12000,2121.959173010111954,6.751937527000000
Kawata PME,6,32,12000,2121.959172569947896,6.876938596000000
Kawata PME,6,32,12000,2121.959171100712410,6.962940311000001
Kawata PME,6,32,12000,2121.959173541671589,6.862027940000001
